"","Year","Region","Wind2","Wave and tidal","Solar PV","Hydro","Landfill gas","Other bioenergy (incl Sewage gas3","Total"
"1","2003","England","349.2","0.0","0.0","25.3","2,899.0","2,716.9","5,990.4"
"2","2003","East Midlands","1.3","0.0","0.0","5.5","223.1","202.7","432.6"
"3","2003","East of England","19.8","0.0","0.0","-","756.4","748.8","1,525.0"
"4","2003","North East","28.6","0.0","0.0","…","89.9","139.0","257.5"
"5","2003","North West","120.8","0.0","0.0","2.0","519.4","216.3","858.5"
"6","2003","London","-","0.0","0.0","-","-","438.8","438.8"
"7","2003","South East","3.5","0.0","0.0","-","602.3","187.0","792.8"
"8","2003","South West","95.8","0.0","0.0","16.4","249.7","90.7","452.6"
"9","2003","West Midlands","-","0.0","0.0","1.4","224.6","355.3","581.3"
"10","2003","Yorkshire and the Humber","79.4","0.0","0.0","…","233.6","338.3","651.3"
"11","2003","Northern Ireland","96.3","0.0","0.0","6.7","-","1.3","104.3"
"12","2003","Scotland","448.9","0.0","0.0","2,902.0","228.0","145.5","3,724.4"
"13","2003","Wales","391.0","0.0","0.0","194.7","149.3","33.9","768.9"
"14","2003","Other Sites4","-","0.0","2.9","8.8","-","-","11.7"
"15","2004","England","387.8","0.0","0.0","70.2","3,501.1","3,160.5","7,119.6"
"16","2004","East Midlands","…","0.0","0.0","11.1","287.2","79.0","377.3"
"17","2004","East of England","51.0","0.0","0.0","-","835.9","687.1","1,574.0"
"18","2004","North East","43.7","0.0","0.0","16.9","132.3","212.6","405.5"
"19","2004","North West","117.7","0.0","0.0","8.2","687.9","254.2","1,068.0"
"20","2004","London","-","0.0","0.0","-","-","434.8","434.8"
"21","2004","South East","…","0.0","0.0","…","714.4","239.5","953.9"
"22","2004","South West","93.2","0.0","0.0","32.1","293.6","138.8","557.7"
"23","2004","West Midlands","-","0.0","0.0","1.9","250.7","539.2","791.8"
"24","2004","Yorkshire and the Humber","82.2","0.0","0.0","…","299.1","575.3","956.6"
"25","2004","Northern Ireland","139.5","0.0","0.0","11.5","-","1.6","152.6"
"26","2004","Scotland","848.4","0.0","0.0","4,474.8","339.2","169.8","5,832.2"
"27","2004","Wales","550.6","0.0","0.0","286.5","163.7","28.1","1,028.9"
"28","2004","Other Sites4","8.7","0.0","4.0","0.7","-","-","13.4"
"29","2005","England","645.2","0.0","0.0","47.5","3,719.3","4,551.1","8,963.1"
"30","2005","East Midlands","17.2","0.0","0.0","14.7","305.3","307.7","644.9"
"31","2005","East of England","188.9","0.0","0.0","-","868.8","647.2","1,704.9"
"32","2005","North East","50.4","0.0","0.0","4.7","141.9","313.8","510.8"
"33","2005","North West","147.9","0.0","0.0","10.7","710.1","423.9","1,292.6"
"34","2005","London","…","0.0","0.0","-","-","401.4","401.4"
"35","2005","South East","62.1","0.0","0.0","…","784.6","340.5","1,187.2"
"36","2005","South West","92.4","0.0","0.0","15.8","317.3","192.7","618.2"
"37","2005","West Midlands","…","0.0","0.0","…","254.7","791.5","1,046.2"
"38","2005","Yorkshire and the Humber","86.3","0.0","0.0","1.6","336.6","1,132.4","1,556.9"
"39","2005","Northern Ireland","253.3","0.0","0.0","13.7","-","4.3","271.3"
"40","2005","Scotland","1,280.9","0.0","0.0","4,612.2","395.4","197.2","6,485.7"
"41","2005","Wales","715.3","0.0","0.0","245.5","175.9","59.2","1,195.9"
"42","2005","Other Sites4","9.3","0.0","8.2","2.5","-","-","20.0"
"43","2006","England","1,020.5","0.0","0.0","60.2","3,817.6","4,464.1","9,362.4"
"44","2006","East Midlands","81.2","0.0","0.0","15.2","290.3","276.0","662.7"
"45","2006","East of England","194.7","0.0","0.0","…","909.6","573.3","1,677.6"
"46","2006","North East","50.2","0.0","0.0","11.1","150.1","114.5","325.9"
"47","2006","North West","286.5","0.0","0.0","14.3","701.6","438.8","1,441.2"
"48","2006","London","…","0.0","0.0","-","-","381.9","381.9"
"49","2006","South East","232.8","0.0","0.0","…","846.9","912.1","1,991.8"
"50","2006","South West","94.9","0.0","0.0","17.0","381.5","282.2","775.6"
"51","2006","West Midlands","…","0.0","0.0","1.4","256.0","608.6","866.0"
"52","2006","Yorkshire and the Humber","80.2","0.0","0.0","1.2","281.6","876.7","1,239.7"
"53","2006","Northern Ireland","299.1","0.0","0.0","31.9","-","19.1","350.1"
"54","2006","Scotland","2,022.9","0.0","0.0","4,224.9","424.0","283.7","6,955.6"
"55","2006","Wales","867.0","0.0","0.0","275.0","182.7","86.3","1,411.0"
"56","2006","Other Sites4","15.7","0.0","10.7","0.6","-","-","27.0"
"57","2007","England","1,408.4","0.0","0.0","70.0","3,997.8","4,213.8","9,690.1"
"58","2007","East Midlands","132.3","0.0","0.0","11.4","312.1","431.7","887.5"
"59","2007","East of England","359.6","0.0","0.0","0.6","971.9","606.8","1,938.9"
"60","2007","North East","81.5","0.0","0.0","19.2","155.9","123.8","380.4"
"61","2007","North West","468.3","0.0","0.0","15.0","755.9","411.5","1,650.7"
"62","2007","London","7.0","0.0","0.0","-","-","393.3","400.3"
"63","2007","South East","177.0","0.0","0.0","0.3","876.1","465.5","1,518.9"
"64","2007","South West","99.3","0.0","0.0","20.7","398.0","244.4","762.4"
"65","2007","West Midlands","-","0.0","0.0","0.4","263.5","525.5","789.4"
"66","2007","Yorkshire and the Humber","83.4","0.0","0.0","2.4","264.4","1,011.4","1,361.6"
"67","2007","Northern Ireland","353.2","0.0","0.0","29.8","0.0","126.9","509.9"
"68","2007","Scotland","2,644.0","0.0","0.0","4,692.9","486.5","179.8","8,003.2"
"69","2007","Wales","864.0","0.0","0.0","283.7","192.6","128.3","1,468.6"
"70","2007","Other Sites4","4.1","0.0","13.8","0.0","0.0","-","17.9"
"71","2008","England","2,204.7","0.0","0.5","79.9","3,979.3","522.4","3,668.0"
"72","2008","East Midlands","308.9","0.0","0.1","12.5","325.8","52.4","328.5"
"73","2008","East of England","446.3","0.0","0.0","0.1","910.0","25.4","560.4"
"74","2008","North East","91.6","0.0","0.0","24.0","157.5","47.8","314.2"
"75","2008","North West","856.1","0.0","0.0","13.4","657.1","91.7","223.8"
"76","2008","London","7.5","0.0","0.1","0.0","131.3","84.2","334.1"
"77","2008","South East","280.8","0.0","0.2","0.3","788.8","66.7","470.4"
"78","2008","South West","125.9","0.0","0.0","26.2","403.8","42.9","21.0"
"79","2008","West Midlands","0.0","0.0","0.0","0.9","275.2","101.1","321.8"
"80","2008","Yorkshire and the Humber","87.5","0.0","0.0","2.6","329.8","10.2","1,093.8"
"81","2008","Northern Ireland","563.4","0.0","0.0","26.1","1.2","0.8","13.1"
"82","2008","Scotland","3,361.5","0.0","0.0","4,700.7","494.0","20.3","479.0"
"83","2008","Wales","989.1","0.0","0.0","334.2","221.4","4.8","161.9"
"84","2008","Other Sites4","2.8","0.0","16.5","0.0","0.0","0.0","0.0"
"85","2009","England","3,059.5","0.0","0.6","74.6","4,134.5","569.1","4,209.1"
"86","2009","East Midlands","797.7","0.0","0.1","12.3","322.8","57.0","364.7"
"87","2009","East of England","499.9","0.0","0.0","0.1","916.6","50.5","572.9"
"88","2009","North East","201.0","0.0","0.0","23.5","172.6","50.1","379.5"
"89","2009","North West","920.4","0.0","0.0","12.9","677.8","99.4","281.0"
"90","2009","London","6.2","0.0","0.1","0.0","145.2","86.6","324.9"
